id,user_id,product_id,quantity
1,327,334,4
2,214,599,4
3,105,1890,4
4,289,98,5
5,346,383,4
6,139,1679,4
7,105,10,1
8,89,1936,3
9,391,1607,2
10,331,595,4
11,91,855,3
12,38,1033,4
13,60,337,3
14,441,641,4
15,215,1960,3
16,264,725,5
17,69,976,1
18,332,1535,2
19,441,1300,5
20,22,1828,3
21,470,1244,1
22,1,937,3
23,385,1971,3
24,37,144,5
25,71,902,3
26,211,1567,3
27,351,1522,5
28,367,731,3
29,120,1944,3
30,134,1997,2
31,365,1206,5
32,70,1223,2
33,358,36,1
34,205,293,4
35,324,1134,5
36,8,1344,3
37,372,1132,2
38,94,1731,3
39,45,637,1
40,410,780,1
41,480,693,4
42,179,289,1
43,165,1140,1
44,200,690,1
45,360,374,4
46,383,811,1
47,295,409,2
48,257,721,2
49,217,1867,4
50,268,841,5
51,423,1939,3
52,407,335,1
53,337,369,2
54,472,738,5
55,397,1872,1
56,169,1425,5
57,351,525,5
58,416,392,5
59,141,709,1
60,370,617,2
61,56,427,3
62,385,1400,5
63,299,1621,5
64,466,205,4
65,62,1156,5
66,197,135,2
67,180,1656,1
68,343,1004,1
69,483,742,2
70,387,1799,5
71,243,1582,4
72,196,972,4
73,51,1453,3
74,339,1265,2
75,252,943,1
76,353,1575,4
77,399,1504,2
78,147,188,2
79,73,976,5
80,483,424,5
81,119,792,3
82,221,929,1
83,311,1230,3
84,287,1797,2
85,90,374,5
86,221,1654,5
87,444,703,2
88,60,215,5
89,113,1879,1
90,93,159,5
91,159,1155,5
92,481,1883,3
93,262,911,5
94,125,1937,1
95,182,1699,3
96,414,301,3
97,379,1922,4
98,461,81,1
99,112,1450,5
100,110,150,5
101,50,698,1
102,236,402,4
103,58,1378,4
104,5,1744,1
105,8,56,5
106,124,1555,5
107,8,1247,4
108,26,1502,3
109,123,445,3
110,324,1962,4
111,240,199,1
112,143,1917,3
113,249,995,2
114,305,937,3
115,84,840,2
116,456,733,5
117,286,354,2
118,348,1653,5
119,184,1748,5
120,270,1761,4
121,106,714,2
122,299,649,5
123,262,727,3
124,212,1084,1
125,158,651,1
126,106,1729,5
127,147,681,2
128,454,1498,4
129,151,1433,5
130,268,862,2
131,122,1370,5
132,337,1367,1
133,120,1430,4
134,19,4,4
135,263,1391,1
136,45,116,5
137,174,1375,4
138,497,634,2
139,237,1771,1
140,450,254,5
141,342,1088,2
142,346,1453,3
143,358,69,2
144,321,1552,2
145,81,1436,2
146,2,519,2
147,276,1779,3
148,28,172,1
149,33,983,3
150,111,1331,1
151,143,1413,4
152,481,723,5
153,276,1350,5
154,253,1118,3
155,63,1097,1
156,93,1337,2
157,277,651,2
158,194,1222,1
159,414,1955,1
160,470,882,5
161,341,1038,3
162,251,415,4
163,429,530,1
164,446,1692,4
165,306,1355,5
166,353,1149,3
167,299,639,5
168,136,886,3
169,485,1064,3
170,326,356,4
171,87,860,2
172,36,1533,5
173,478,359,5
174,432,1000,3
175,71,1488,2
176,410,1024,5
177,317,1051,5
178,425,695,3
179,235,726,3
180,183,567,1
181,160,1378,2
182,383,634,1
183,463,1060,5
184,91,1899,4
185,364,664,2
186,279,812,2
187,225,1281,4
188,304,1433,2
189,482,666,1
190,103,594,5
191,150,150,1
192,137,1917,3
193,71,1417,2
194,13,736,3
195,184,94,1
196,317,1879,4
197,177,179,3
198,440,580,4
199,244,956,4
200,150,1479,2
201,272,571,1
202,149,1028,4
203,402,1126,4
204,62,1812,3
205,304,1691,2
206,154,1529,1
207,37,99,4
208,461,1344,3
209,229,1268,4
210,19,430,1
211,374,914,5
212,118,1602,2
213,239,110,5
214,410,1581,1
215,285,1764,3
216,256,1957,4
217,202,1463,3
218,74,171,5
219,484,1693,1
220,139,530,2
221,40,1042,2
222,120,186,4
223,347,173,1
224,142,8,3
225,488,1279,3
226,336,1869,5
227,266,213,2
228,368,277,2
229,346,1918,1
230,308,53,4
231,12,1043,3
232,174,1045,4
233,333,1108,3
234,270,1211,4
235,114,460,3
236,472,346,4
237,33,500,1
238,87,885,5
239,346,1929,4
240,63,1838,3
241,52,624,1
242,409,1815,1
243,439,1495,2
244,51,1526,5
245,477,407,5
246,95,1554,2
247,338,1609,3
248,250,1527,2
249,136,1583,2
250,314,781,4
251,81,89,2
252,162,1312,2
253,326,1118,4
254,269,933,5
255,113,693,5
256,449,1676,2
257,436,1849,3
258,114,1045,1
259,106,489,2
260,368,1495,3
261,324,1217,5
262,434,1524,4
263,351,1109,4
264,79,620,1
265,395,1289,3
266,14,728,5
267,269,1459,3
268,299,239,3
269,204,1055,2
270,483,1322,5
271,128,1751,2
272,432,1752,5
273,53,323,5
274,107,839,5
275,120,569,5
276,244,1444,4
277,288,555,1
278,300,1468,1
279,320,63,3
280,326,18,1
281,117,1395,5
282,27,185,4
283,204,576,2
284,168,1886,5
285,35,1147,3
286,295,1639,4
287,215,1669,3
288,441,1890,4
289,317,940,4
290,374,1087,4
291,230,1958,5
292,184,1409,4
293,99,1381,1
294,422,131,1
295,409,679,5
296,3,1929,2
297,98,170,3
298,173,1714,5
299,399,126,4
300,4,1825,5
301,391,824,4
302,454,1446,1
303,478,219,2
304,449,392,2
305,367,1401,3
306,170,1375,1
307,341,1740,3
308,339,1263,3
309,165,498,4
310,87,1930,4
311,353,346,5
312,196,1239,3
313,249,111,2
314,343,1059,2
315,122,1199,1
316,385,869,2
317,114,899,1
318,97,895,1
319,148,193,2
320,405,940,4
321,180,114,2
322,386,1531,1
323,22,1753,2
324,279,1321,3
325,364,667,4
326,283,218,4
327,304,1146,3
328,68,1866,3
329,221,41,2
330,478,1460,5
331,114,1631,4
332,455,524,5
333,364,941,1
334,365,241,3
335,153,823,3
336,110,891,1
337,101,1812,4
338,22,1662,5
339,148,1575,1
340,27,129,3
341,92,1936,5
342,488,225,2
343,382,826,3
344,469,1504,5
345,260,102,4
346,3,514,4
347,371,1072,4
348,308,866,2
349,199,852,3
350,455,304,3
351,489,1728,3
352,204,970,2
353,302,1653,5
354,456,204,3
355,277,154,1
356,135,583,5
357,68,566,4
358,210,960,1
359,399,1784,5
360,119,1033,4
361,331,1652,2
362,290,1642,5
363,410,457,3
364,179,818,1
365,323,362,3
366,342,972,2
367,319,1421,2
368,162,1294,1
369,200,1241,5
370,37,1678,1
371,394,1280,4
372,468,1999,5
373,191,1373,1
374,195,701,2
375,442,1709,2
376,317,1833,2
377,47,896,3
378,32,507,1
379,500,348,5
380,412,428,2
381,309,1992,5
382,260,1959,4
383,362,1344,2
384,233,277,3
385,339,1136,5
386,477,1674,2
387,152,1238,3
388,419,1656,1
389,241,533,2
390,318,1238,4
391,286,439,3
392,471,621,1
393,492,1921,1
394,131,1818,3
